timelst,communicative,organizational,typical,supportive,entropy_for_peripheral_developer,communicative_standard,organizational_standard,typical_standard,supportive_standard,entropy_for_peripheral_developer_standard
2018-11-12,5,0,2,5,69.71807804425417,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,-0.2492465989857934
2018-11-13,5,1,2,7,234.89297681393592,0.820347885909671,0.97333507038167,1.1673749757973078,1.0625677693984954,2.222702354256827
2018-11-14,3,0,2,4,80.12019204168962,-0.944608943336702,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.0935722501652404
2018-11-15,5,0,2,5,112.71281174824522,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,0.3941973369037799
2018-11-16,4,0,0,4,67.03299219097306,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-0.2344122285827918,-0.2894306415602037
2018-11-17,4,0,3,6,35.37903195237716,-0.0621305287135154,-0.6048151289613374,2.225529769048174,0.630241103404733,-0.7631525839413368
2018-11-18,4,0,2,3,45.39034968678146,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.6667388945765543,-0.6133267533915775
2018-11-19,5,0,2,7,136.64768728359726,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.7523981953048261
2018-11-20,4,0,2,6,125.0527376676242,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.5788722916742043
2018-11-21,4,0,1,3,62.240200806689565,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,-0.3611578575823544
2018-11-22,4,1,2,6,116.4046681304719,-0.0621305287135154,0.97333507038167,1.1673749757973078,0.630241103404733,0.4494483501481874
2018-11-23,4,0,1,5,95.68573141258118,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,0.1979144374109706,0.1393760915085416
2018-11-24,4,0,2,5,20.407191094475788,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.1979144374109706,-0.9872158442337512
2018-11-25,3,0,1,0,20.622556248918265,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-1.9637188925578417,-0.9839927657148332
2018-11-26,4,0,2,5,89.47387343458101,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.1979144374109706,0.0464116281379858
2018-11-27,5,0,2,4,64.02448086678689,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.3344549550245062
2018-11-28,5,0,1,6,101.9811664277771,0.820347885909671,-0.6048151289613374,0.1092201825464417,0.630241103404733,0.2335913391759246
2018-11-29,5,0,2,4,82.14726224756427,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.0632358363948395
2018-11-30,5,0,2,7,109.5509259224751,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.3468776750453295
2018-12-01,4,0,2,6,31.974604608337984,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,-0.8141020361412307
2018-12-02,4,0,2,4,48.56997276093836,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.5657416421645505
2018-12-03,5,0,2,6,137.0624498006252,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.7586053840329456
2018-12-04,4,0,2,4,80.20026477152986,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.0923739100894407
2018-12-05,3,0,1,5,37.30126861510935,-0.944608943336702,-0.6048151289613374,0.1092201825464417,0.1979144374109706,-0.7343850717968244
2018-12-06,5,0,2,7,58.45167228347514,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,-0.4178556318025659
2018-12-07,3,1,1,6,59.07280112600938,-0.944608943336702,0.97333507038167,0.1092201825464417,0.630241103404733,-0.4085600378378179
2018-12-08,1,0,0,1,34.10861053104353,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.7821652603590874
2018-12-09,0,0,0,1,13.754887502163468,-3.592044187206261,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-1.0867718604574883
2018-12-10,4,0,2,2,49.21489160316451,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-1.0990655605703168,-0.5560900155018921
2018-12-11,4,0,2,4,68.26260557383384,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.2710286837730576
2018-12-12,2,0,3,3,57.66327060180727,-1.8270873579598883,-0.6048151289613374,2.225529769048174,-0.6667388945765543,-0.4296545717519776
2018-12-13,5,0,2,5,38.03354649881476,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,-0.723426060702576
2018-12-14,5,0,2,6,94.45398344290592,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.1209421882521931
2018-12-15,3,0,0,0,27.274305548008535,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-0.8844450448468689
2018-12-16,2,0,0,0,15.83659166810898,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.0556178142174166
2018-12-17,3,0,0,2,60.44787984969183,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.3879810973513901
2018-12-18,3,0,2,3,71.08588475779142,-0.944608943336702,-0.6048151289613374,1.1673749757973078,-0.6667388945765543,-0.2287764888240716
2018-12-19,3,0,0,3,67.29290858265855,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.2855408250254683
2018-12-20,4,0,1,3,102.17541807301733,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-0.6667388945765543,0.2364984404043429
2018-12-21,3,0,0,1,50.01728633806307,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.5440816604806752
2018-12-22,4,0,0,1,57.32993620174271,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.434643136161321
2018-12-23,3,0,0,2,20.084962500721154,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.9920382030847004
2018-12-24,1,0,0,1,27.746868977694344,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.8773728281598683
2018-12-25,1,0,0,2,29.704307440712228,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.8480784983571245
2018-12-26,1,0,0,1,42.37771406048208,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.6584127896985609
2018-12-27,3,0,0,0,52.571926370295685,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-0.5058498237995183
2018-12-28,3,0,0,1,12.75488750216347,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-1.1017375057925551
2018-12-29,3,0,1,2,33.48474914095743,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.7915017486613577
2018-12-30,1,0,0,1,20.923154213482256,-2.709565772583075,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.9794941231887254
2018-12-31,3,0,1,0,18.1764416709936,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-1.9637188925578417,-1.0206004489369904
2019-01-01,0,0,0,1,12.965784284662089,-3.592044187206261,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-1.098581299343374
2019-01-02,4,0,0,5,36.93591725111739,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,0.1979144374109706,-0.739852790733011
2019-01-03,3,0,1,2,57.670188251985614,-0.944608943336702,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.4295510446528564
2019-01-04,3,0,0,1,70.73783311022075,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-0.2339853063398999
2019-01-05,2,0,0,4,50.6569452358434,-1.8270873579598883,-0.6048151289613374,-0.9489346107044244,-0.2344122285827918,-0.534508752281075
2019-01-06,3,0,0,2,29.718706643579083,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.0990655605703168,-0.8478630049939114
2019-01-07,4,0,1,2,43.48334094771977,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,-1.0990655605703168,-0.6418663698312478
2019-01-08,3,0,2,6,84.55856617199748,-0.944608943336702,-0.6048151289613374,1.1673749757973078,0.630241103404733,-0.0271491170667173
2019-01-09,4,0,2,4,78.30788132222852,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.1206946496296349
2019-01-10,5,0,2,7,163.10584142979283,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,1.1483615464773165
2019-01-11,5,0,2,4,58.89294984215808,0.820347885909671,-0.6048151289613374,1.1673749757973078,-0.2344122285827918,-0.411251628364993
2019-01-12,4,0,0,3,33.85288334198721,-0.0621305287135154,-0.6048151289613374,-0.9489346107044244,-0.6667388945765543,-0.785992382773038
2019-01-13,0,0,0,0,5.169925001442312,-3.592044187206261,-0.6048151289613374,-0.9489346107044244,-1.9637188925578417,-1.215251364458129
2019-01-14,4,0,3,7,83.47128826030202,-0.0621305287135154,-0.6048151289613374,2.225529769048174,1.0625677693984954,-0.0434209326738037
2019-01-15,5,1,2,7,53.79148863183996,0.820347885909671,0.97333507038167,1.1673749757973078,1.0625677693984954,-0.4875982875292146
2019-01-16,4,0,2,5,50.449774135307976,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.1979144374109706,-0.5376092014953636
2019-01-17,4,0,2,6,132.50344656147703,-0.0621305287135154,-0.6048151289613374,1.1673749757973078,0.630241103404733,0.6903769584744336
2019-01-18,5,0,2,7,193.5602780268855,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,1.6041318434686842
2019-01-19,5,0,2,5,75.70628579697522,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.1979144374109706,-0.1596292055658727
2019-01-20,3,0,0,1,8.548794940695398,-0.944608943336702,-0.6048151289613374,-0.9489346107044244,-1.5313922265640791,-1.164684395313949
2019-01-21,5,0,2,7,146.18277727324383,0.820347885909671,-0.6048151289613374,1.1673749757973078,1.0625677693984954,0.8950969703278224
2019-01-22,5,0,2,6,71.95995403340373,0.820347885909671,-0.6048151289613374,1.1673749757973078,0.630241103404733,-0.215695478046979
2019-01-23,5,2,2,7,549.7438439380384,0.820347885909671,2.5514852697246773,1.1673749757973078,1.0625677693984954,6.934648765074392
2019-01-24,5,2,2,8,167.71340012026562,0.820347885909671,2.5514852697246773,1.1673749757973078,1.494894435392258,1.217316635699437
2019-01-25,4,0,1,5,50.796531303752616,-0.0621305287135154,-0.6048151289613374,0.1092201825464417,0.1979144374109706,-0.5324197566950292
